,GardaStation,Green,Area
0,Bridewell,0,3.0050207672410627
1,Lucan,4,27.031564725172636
2,Balbriggan,9,60.000023016232774
3,Pearse Street,3,3.182020534683249
4,Irishtown,13,13.370165759434196
5,Fitzgibbon Street,1,1.8747148348468836
6,Coolock,2,17.676889330282155
7,Blanchardstown,15,45.287530451056845
8,Skerries,7,30.60530186290336
9,Lusk,5,54.56421163800841
10,Cabinteely,35,18.41140731594462
11,Shankill,10,20.7190532981074
12,Clontarf,21,18.08325441409281
13,Store Street,1,6.848610306075219
14,Donnybrook,5,8.219549163574158
15,Garristown,0,83.20773372068244
16,Ballymun,4,7.025158175500356
17,Airport,0,6.2370303160826035
18,Santry,22,15.133921951783206
19,Dun Laoghaire,22,11.239514100573524
20,Cabra,3,11.35996190047619
21,Kilmainham,3,4.8657359400306985
22,Blackrock,3,8.965901634859863
23,Sundrive Road,7,4.8517597186240495
24,Swords,26,105.24552700247231
25,Ballyfermot,4,8.56857900063533
26,Kevin Street,1,2.7744782653288356
27,Howth,5,14.487512217308302
28,Mountjoy,4,4.04996921350876
29,Malahide,4,22.25230090432904
30,Finglas,10,38.18989240503388
31,Raheny,4,13.65490798529339
