,Garda Station,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,TotalCrime
0,Salthill,107,118,87,338,650
1,Galway,391,503,290,2256,3440
2,Balbriggan,193,168,179,470,1010
3,Ballyfermot,272,173,349,820,1614
4,Ballymun,189,217,260,752,1418
5,BlackrockCoDublin,243,106,156,354,859
6,Blanchardstown,790,543,579,2084,3996
7,BridewellDublin,279,174,299,4611,5363
8,Cabinteely,230,83,74,310,697
9,Cabra,172,130,157,598,1057
10,Clontarf,415,99,113,469,1096
11,Coolock,403,279,608,951,2241
12,Donnybrook,299,102,77,457,935
13,Airport,0,20,82,82,184
14,Dun Laoghaire,378,170,200,1215,1963
15,Finglas,389,334,494,1109,2326
16,Fitzgibbon Street,387,201,169,789,1546
17,Garristown,17,10,10,23,60
18,Howth,143,69,88,250,550
19,Irishtown,246,68,81,386,781
20,Kevin Street,401,259,272,1186,2118
21,Kilmainham,344,299,217,1039,1899
22,Lucan,224,153,159,463,999
23,Lusk,81,81,47,168,377
24,Malahide,199,99,106,373,777
25,Mountjoy,404,233,246,808,1691
26,Pearse Street,744,643,565,3575,5527
27,Raheny,140,78,157,380,755
28,Santry,343,233,156,659,1391
29,Shankill,173,100,161,421,855
30,Skerries,48,51,30,133,262
31,Store Street,447,414,592,2327,3780
32,Sundrive Road,334,125,188,495,1142
33,Swords,310,219,356,829,1714
34,Athleague,5,6,3,7,21
35,Ballaghaderreen,30,46,20,91,187
36,Boyle,25,19,15,51,110
37,Castlerea,10,48,39,68,165
38,Keadue,6,3,0,3,12
39,Roscommon,39,66,32,145,282
