,GardaStation,Green,Area
0,Blanchardstown,15,45.28753045
1,BridewellDublin,0,3.005020767
2,Finglas,10,38.18989241
3,Balbriggan,9,60.00002302
4,Pearse Street,3,3.182020535
5,Fitzgibbon Street,1,1.874714835
6,Cabra,3,11.3599619
7,Shankill,10,20.7190533
8,Ballyfermot,4,8.568579001
9,Mountjoy,4,4.049969214
10,Raheny,4,13.65490799
11,Skerries,7,30.60530186
12,BlackrockCoDublin,3,8.965901635
13,Kevin Street,1,2.774478265
14,Irishtown,13,13.37016576
15,Clontarf,21,18.08325441
16,Coolock,2,17.67688933
17,Sundrive Road,7,4.851759719
18,Dun Laoghaire,22,11.2395141
19,Lusk,5,54.56421164
20,Howth,5,14.48751222
21,Kilmainham,3,4.86573594
22,Airport,0,6.237030316
23,Ballymun,4,7.025158176
24,Donnybrook,5,8.219549164
25,Cabinteely,35,18.41140732
26,Lucan,4,27.03156473
27,Malahide,4,22.2523009
28,Store Street,1,6.848610306
29,Garristown,0,83.20773372
30,Santry,22,15.13392195
31,Swords,26,105.245527
