,Garda Station,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,NoLowEducation,MiddleEducation,HighEducation,EducationCeasedYoung,ContinuedEducation,StillInEducation,GoodHealth,PoorHealth,TotalCrime,LowerSocialClass,HigherSocialClass
0,Salthill,107,118,87,338,13856,15474,29330,12545,184,2075,3304,1750,2436,543,179,4504,9640,4329,2621,1988,703,5545,349,302,736,934,1803,728,808,6977,5380,3304,1695,113,823,1452,3283,1313,863,1049,2047,2641,3153,583,697,19049,7607,1758,257,42,617,3949,3766,7715,9,2388,2176,7841,2321,13165,1695,26656,257,312,2691,18473
1,Galway,391,503,290,2256,22255,22889,45144,17788,441,4253,8103,2357,4240,1542,354,3407,9378,6390,4709,4538,1761,14961,1412,856,1518,1667,2753,1020,1098,7462,10066,8103,3123,446,3039,3510,5351,2326,1252,1242,2342,3052,2924,435,1933,24938,13928,3849,645,153,1631,4144,3992,8136,19,6995,3578,8318,5453,18626,3123,38866,645,1184,6299,19175
2,Balbriggan,193,168,179,470,11746,12296,24042,9191,267,2235,1642,1666,1218,715,49,1197,5874,4737,3920,2650,870,4794,845,633,1184,1284,1815,693,560,2582,4163,1642,1582,196,1442,2257,3153,1529,974,708,1048,1024,785,67,576,15012,6532,1638,281,66,513,4134,3892,8026,9,3895,2503,2857,3946,7305,1582,21544,281,540,3520,11808
3,Ballyfermot,272,173,349,820,13247,14332,27579,9627,339,3234,1922,2074,3133,1843,53,894,4708,4819,5121,4037,1737,6263,3807,1771,2249,1651,1934,577,436,2371,4260,1922,1247,516,5222,3993,3196,1507,750,517,764,893,788,77,833,14998,8213,3122,546,133,567,3426,3286,6712,4,9731,2257,2445,9478,7067,1247,23211,546,794,5774,10421
4,Ballymun,189,217,260,752,10408,11267,21675,6870,269,2778,2307,1644,2310,968,40,667,3556,3760,3077,2790,1149,6676,1857,993,1445,1288,1632,455,323,1642,3839,2307,1405,266,2892,2870,2761,1082,510,352,511,684,533,73,940,11863,6412,2150,426,75,749,2993,2893,5886,4,6028,1592,1728,5583,5804,1405,18275,426,666,3939,7983
5,BlackrockCoDublin,243,106,156,354,15003,16975,31978,13827,145,1152,4352,2363,4091,524,57,6643,14073,4280,1510,1016,256,4200,447,314,787,1075,2295,718,924,9970,4476,4352,1153,113,812,1225,3496,977,645,938,2440,4441,4630,737,552,21700,7535,1883,284,65,511,3563,3469,7032,3,2150,1622,11511,2623,15370,1153,29235,284,505,1272,24996
6,Blanchardstown,790,543,579,2084,48192,49886,98078,42376,1007,8585,7726,6018,4626,2214,153,8355,28912,17826,13556,8709,2864,17856,2524,2136,3753,4760,6780,2541,2473,15244,17273,7726,7495,607,4392,7441,11886,5248,3136,3050,5302,6877,5916,515,3114,62945,25938,5398,904,195,2698,15255,14502,29757,15,12440,8384,18095,13173,34990,7495,88883,904,1912,11573,55093
7,BridewellDublin,279,174,299,4611,11883,11111,22994,10800,340,2773,2769,965,1721,994,59,1691,4900,3541,2554,2622,1388,6298,1519,717,967,868,1414,615,526,5332,3711,2769,1983,252,2262,1809,2521,1113,550,588,1247,2072,2098,207,950,12200,7194,2209,438,91,862,1636,1546,3182,0,4323,1663,5417,4071,9569,1983,19394,438,752,4010,10132
8,Cabinteely,230,83,74,310,15800,16954,32754,13227,153,1571,3710,2849,4235,616,50,4629,13321,5682,2949,1657,569,3947,865,642,1259,1524,2700,866,824,6659,6167,3710,1195,155,1616,2289,4653,1454,840,1090,2123,3244,2917,336,789,21554,8113,2025,303,74,685,4157,3983,8140,35,4060,2294,8284,4290,13650,1195,29667,303,387,2226,23632
9,Cabra,172,130,157,598,10342,11509,21851,9363,184,1757,1768,1475,2671,854,42,1603,5965,3941,3383,2210,1059,3690,1880,818,1315,1221,1623,489,467,3494,3943,1768,1096,252,2784,2182,2676,1050,627,577,993,1539,1478,127,965,12694,6025,1916,371,70,775,2366,2331,4697,3,5218,1677,4010,5234,7904,1096,18719,371,459,3269,11509
10,Clontarf,415,99,113,469,17749,19494,37243,16745,244,1845,3784,2405,5361,875,70,4634,14172,6884,3878,2393,719,4563,1445,917,1788,1966,3353,909,903,7772,6991,3784,1501,159,2595,3173,5166,1735,1099,1187,2284,3704,3582,380,980,23158,9954,2903,419,84,725,3949,3698,7647,21,5927,2834,9570,6116,15666,1501,33112,419,627,3112,25690
11,Coolock,403,279,608,951,25244,26969,52213,20131,418,5113,3952,3939,5554,2103,75,1840,10355,10912,10235,6454,2406,10011,4571,2687,3893,3124,4158,1191,845,4363,10147,3952,2354,479,6992,7738,6955,3063,1824,1108,1614,1978,1347,86,1795,29876,15359,4671,795,169,1343,6946,6642,13588,2,15209,4887,4939,14275,15355,2354,45235,795,1290,8860,23107
