,count,mean,std,min,25%,50%,75%,max
Theft,30.0,0.010835967510037837,0.006802704019549886,0.004206467443694679,0.007166275905635849,0.009098563016960454,0.011885958449738745,0.039356749894202285
Assault & Kidnapping,30.0,0.007124953891126921,0.006222002627959986,0.0025340416437687,0.003765808910055733,0.005148761731569243,0.007994855479997096,0.034013965298349554
Fraud & Drugs & Weapons,30.0,0.008287908767824145,0.00648243381414336,0.0022592660438419732,0.0042456313849981615,0.007139706019154856,0.010389109808674385,0.02988785442234448
Environment & Public Order,30.0,0.03601983175066317,0.04706677752435069,0.009190371991247264,0.01378932207680491,0.019050140632905957,0.034096211875759286,0.20053057319300688
TotalCrime,30.0,0.06226866191965208,0.06263362297946329,0.02062363238512035,0.02962518975619275,0.04137644909590412,0.06369644121429838,0.2923719847651291
PopulationTotalMale,30.0,0.48705874795471704,0.014352735057460661,0.468334921257636,0.476028775196166,0.482932478186352,0.4914444156126378,0.5187835420393561
PopulationTotalFemale,30.0,0.512941252045283,0.01435273505746065,0.481216457960644,0.5085555843873621,0.517067521813648,0.5239712248038341,0.5316650787423639
PopulationTotal,30.0,30400.666666666668,15674.99149498385,11411.0,22061.75,25109.5,34265.25,98078.0
PrincipalStatusAtWork,30.0,0.4284251949143064,0.052456254752738664,0.3169550173010381,0.39003526009784273,0.42766743128354867,0.45564157898309937,0.5590012252313152
PrincipalStatusLookingForFirstJob,30.0,0.008805522786628715,0.004025535572457573,0.004495086765628267,0.006033537053675061,0.007836446951687587,0.010974116814829233,0.02224751655629139
PrincipalStatusUnemployed,30.0,0.07962350989386721,0.027322057811898927,0.03602476702733129,0.056054411493849196,0.07268008066215942,0.10263712757324084,0.13131208609271522
PrincipalStatusStudent,30.0,0.10377864698964631,0.03131906562128974,0.06829714666001165,0.07898694876993484,0.09552952864766187,0.11986675780173342,0.17562199456408112
PrincipalStatusLookingAfterHome/Family,30.0,0.0645783769840814,0.015182523545082783,0.038790085422209776,0.049011247189938094,0.06706219080852166,0.07574605868151066,0.0879908283175695
PrincipalStatusRetired,30.0,0.101811384530714,0.036045959748069976,0.047166540916413466,0.06938132962646748,0.10406473198137639,0.1268829887276892,0.1650858446392124
PrincipalStatusUnableToWork,30.0,0.031340480287183954,0.011960934103895059,0.01638626555757083,0.02273620375251989,0.02818062736525071,0.039664738635418244,0.06682620834693064
PrincipalStatusOther,30.0,0.0031460670310857297,0.004729058197061461,0.0013632016928116545,0.0017183043011459779,0.0019801044098262423,0.002576323091678722,0.0274008464592696
SocialClassProfessionalWorkers,30.0,0.09118624832599612,0.0481680308956354,0.030772779700115337,0.06433121827325473,0.08160863277133093,0.111017698446285,0.20886472924942506
SocialClassManagerialAndTechnical,30.0,0.2921110527972552,0.08501368507414087,0.16405997693194924,0.2115856424098724,0.2876439702266259,0.3612897737587163,0.4400838076177372
SocialClassNonManual,30.0,0.16756061692562685,0.02526829929810953,0.1189978395707018,0.14485473963312426,0.1751430666915214,0.1830767810648062,0.20899009825139334
SocialClassSkilledManual,30.0,0.12281132993903081,0.037960913342802785,0.04529932399470346,0.10207150784800804,0.1220095000763316,0.14703875250887755,0.19602397870262195
SocialClassSemiSkilled,30.0,0.08901900478469796,0.029937100717866857,0.031771843142160236,0.06431119073019871,0.09078065853635661,0.10985894301785305,0.14637949164219152
