,Unnamed: 0,Theft,Assault & Kidnapping,Fraud & Drugs & Weapons,Environment & Public Order,PopulationTotalMale,PopulationTotalFemale,PopulationTotal,PrincipalStatusAtWork,PrincipalStatusLookingForFirstJob,PrincipalStatusUnemployed,PrincipalStatusStudent,PrincipalStatusLookingAfterHome/Family,PrincipalStatusRetired,PrincipalStatusUnableToWork,PrincipalStatusOther,SocialClassProfessionalWorkers,SocialClassManagerialAndTechnical,SocialClassNonManual,SocialClassSkilledManual,SocialClassSemiSkilled,SocialClassUnskilled,SocialClassOther,AgeEducationCeasedUnder15,AgeEducationCeasedAge15,AgeEducationCeasedAge16,AgeEducationCeasedAge17,AgeEducationCeasedAge18,AgeEducationCeasedAge19,AgeEducationCeasedAge20,AgeEducationCeasedAge21+,AgeEducationCeasedNotStated,EducationNotCeasedStillAtSchool,EducationNotCeasedOther,HighestLevelEducationNoFormalEducation,HighestLevelEducationPrimary,HighestLevelEducationLowerSecondary,HighestLevelEducationUpperSecondary,HighestLevelEducationTechnicalQualification,HighestLevelEducationAdvCert/Apprenticeship,HighestLevelEducationHigherCertificate,HighestLevelEducationOrdinaryBachelorDegree,HighestLevelEducationHonoursBachelorDegree,HighestLevelEducationPostgraduateDegree,HighestLevelEducationDoctorate,HighestLevelEducationNotStated,GeneralHealthVeryGood,GeneralHealthGood,GeneralHealthFair,GeneralHealthBad,GeneralHealthVeryBad,GeneralHealthNotStated,Total_Under18Male,Total_Under18Female,Total_Under18,Green,NoLowEducation,MiddleEducation,HighEducation,EducationCeasedYoung,ContinuedEducation,StillInEducation,GoodHealth,PoorHealth,TotalCrime,LowerSocialClass,HigherSocialClass
Unnamed: 0,1.0,-0.30986652459827224,-0.2628993561141496,-0.2674986219043411,-0.26454289505718115,-0.44051605835410335,-0.45625370501412765,-0.44896425309388377,-0.4098672939810824,-0.4335428895617034,-0.4377702231002095,-0.496771721810837,-0.43599757225872887,-0.4219838981576895,-0.42393204636931375,-0.1744975690927099,-0.459582330493475,-0.3845358795028332,-0.3748305749126804,-0.3235355117369972,-0.375209172183788,-0.3933608267554263,-0.4708711972718001,-0.3086663874470294,-0.3215704284717723,-0.3398786378172541,-0.33983610673564313,-0.3793039351326639,-0.3812106209357027,-0.4057278155940648,-0.46194041192617225,-0.4108688257439688,-0.496771721810837,-0.38908554088125313,-0.4357079873362218,-0.3243204092519829,-0.3429918069248851,-0.39009382534836273,-0.36888955463494,-0.3234970505118877,-0.3818765870300316,-0.41776118682080055,-0.43225039093010564,-0.44708868047742645,-0.4814071047712807,-0.3100007958205054,-0.43877244976417734,-0.4489243425873993,-0.45675553079253806,-0.43538022560551193,-0.37173225011792776,-0.28706331880906466,-0.382104083744331,-0.3830782466288882,-0.3826292562191448,-0.21624470063501733,-0.3483224679552839,-0.3526898769284083,-0.4424977998549427,-0.34706672272483485,-0.45958472007468765,-0.38908554088125313,-0.44468533987393166,-0.43538022560551193,-0.2972461217555018,-0.38353072761139473,-0.41546286524904835
Theft,-0.30986652459827224,1.0,0.8756943837960994,0.8112670981749462,0.668676050324452,0.7403703465172703,0.7215846979266324,0.7313001090255079,0.7605544750268078,0.7813015546799191,0.7249886130558407,0.7532718393812889,0.5872525200266955,0.5191923620634228,0.6758849849534536,0.4085314722869457,0.5192145784340072,0.5865193440144698,0.6454144775989628,0.6057734411047533,0.6689570494471799,0.6903643736641027,0.8252941357577175,0.5217151326844974,0.5842669882099267,0.5701175822215333,0.5986844894436892,0.5928288413331368,0.6379880193366662,0.6508547812248071,0.6862778828564398,0.7421819725616455,0.7532718393812889,0.8020949601584725,0.6349107735650354,0.5502778180633814,0.5820198707420976,0.6101982873841688,0.6386344847685855,0.6009672359080751,0.6397267487201287,0.6630775317161756,0.6522951732408494,0.6396981769048806,0.5016253525330447,0.9333665337732239,0.6853576017974828,0.7465049033660073,0.7089088670736299,0.7029764272640358,0.688829159629315,0.9400473622178207,0.5635251301764739,0.567236824366744,0.5654061231131935,0.29143852918099566,0.5865806153800183,0.6260064332594119,0.6628528683524997,0.5996863365999887,0.7511810309065682,0.8020949601584725,0.7082855636116884,0.7029764272640358,0.9490847442764111,0.6807501801246005,0.6221343486098126
Assault & Kidnapping,-0.2628993561141496,0.8756943837960994,1.0,0.8588084803231599,0.738196687154127,0.6180684230965108,0.5878646258569092,0.6030267921390275,0.6150870256855898,0.7334144128036919,0.6961598593207288,0.68483885251251,0.44466885285099067,0.29800196649171456,0.6241558811881697,0.4473415793166067,0.279828953898579,0.375939677003275,0.5222641344535112,0.5409010867455859,0.6428868102538283,0.6686506914113179,0.8380226633815073,0.4392962608023626,0.4911089529942399,0.4678540535389442,0.4767132543431998,0.4475689587455399,0.5279097979808666,0.5240556328310835,0.46970979109899497,0.6482353992218206,0.68483885251251,0.7600831557986101,0.6281649761460053,0.4774835332375146,0.5079647837174303,0.4858283723823578,0.5634950217407195,0.521316831069705,0.5075223614473883,0.4891030670600926,0.41429595956455545,0.40167286973073046,0.319539005268652,0.8956164692563983,0.5432530528802624,0.6436679492423362,0.6021793329239407,0.6082155549533308,0.575465251323014,0.9057927110709583,0.46698373884692324,0.4710462845102501,0.46902239083762487,0.1562217154964241,0.5137886941666922,0.5489832162042763,0.4366376933351765,0.49371661711537324,0.5887573539682115,0.7600831557986101,0.5771313614977508,0.6082155549533308,0.9565293170998392,0.6556623439263428,0.4230679931295723
Fraud & Drugs & Weapons,-0.2674986219043411,0.8112670981749462,0.8588084803231599,1.0,0.6897418801689188,0.6409441983621383,0.6168524057437356,0.6290648727699101,0.6274122717245538,0.7444429470613971,0.7535523278546933,0.5510833796359308,0.5348724950933378,0.3491492128697897,0.7320937306369055,0.300410698035257,0.19991999247169848,0.3721904539140631,0.609834864310285,0.6790226967145447,0.7517687819421944,0.7771970009679275,0.7611532736348189,0.6593976559760907,0.706895865056844,0.6503964329747758,0.5854835098686331,0.5254096881694533,0.5624724407864051,0.49369808279614585,0.38695004717335385,0.6509595224091067,0.5510833796359308,0.7249115405684775,0.7293434105941216,0.6730709793072971,0.6763328547180834,0.5440033433149467,0.631770563120953,0.5835521977919038,0.48665727382960366,0.43418145554699894,0.3415876349826564,0.3009692935309785,0.1685191539485233,0.8411977495835006,0.5665591096529904,0.6762301482040437,0.6740275014429419,0.6665497042951769,0.5874716762359519,0.8103924257753874,0.5319653730410677,0.5355765075790274,0.5337932141822328,0.06101866785328353,0.6972028434494926,0.6151501502795438,0.35646969351130114,0.6846612578051803,0.5470034043457921,0.7249115405684775,0.6033867811290543,0.6665497042951769,0.9384413797550714,0.7654026249615061,0.43348591860658303
Environment & Public Order,-0.26454289505718115,0.668676050324452,0.738196687154127,0.6897418801689188,1.0,0.36480513620559235,0.3267155911704691,0.3455042663937767,0.3833143247058362,0.5267234036453131,0.4564314620556008,0.47867411482059474,0.17821882906981193,0.12676812472492863,0.4091681166344935,0.26529086245803524,0.1623270461891011,0.17561783863501462,0.2641174740654263,0.26096348794900265,0.38582128284276695,0.4746423579717868,0.5791145188556823,0.27662374222658337,0.26456872123320796,0.21540370080438367,0.20962853015705485,0.20530748725948483,0.2948363985183451,0.29466716266398146,0.35734414703449013,0.36079353531089176,0.47867411482059474,0.5281901810923338,0.4109708713503722,0.27974569625329504,0.2390749565624001,0.2365314514164211,0.294486944891488,0.2447682446193332,0.27782037746588717,0.30483195344180436,0.28990748453156956,0.3194817253169699,0.26659577782526656,0.6258015003691951,0.28950351935132335,0.39159548170200803,0.37209569291591765,0.3977852824362713,0.3631391969646435,0.6596987134299612,0.18374107951781057,0.18713092517975205,0.18541447167078287,0.0056072000586697,0.27280431638705616,0.27647492848946364,0.31052138762113274,0.25577544391627305,0.375505872278949,0.5281901810923338,0.3222442338541199,0.3977852824362713,0.7347008547689282,0.41386734925278734,0.2101133510310872
PopulationTotalMale,-0.44051605835410335,0.7403703465172703,0.6180684230965108,0.6409441983621383,0.36480513620559235,1.0,0.9967975322083735,0.9991536194877289,0.9883102429235106,0.8764242354470866,0.9093847409393044,0.8433096545791409,0.9431668447367775,0.7111713282288388,0.8169967430007273,0.30230026961817286,0.7281873974089702,0.9052949017175957,0.9758987486106114,0.9089211962026301,0.8959035114141574,0.7912355101448504,0.8581654461719956,0.5559078825954065,0.7495698822235914,0.850394120457064,0.9412876856689079,0.95734399027195,0.9788224343388724,0.9665550032646291,0.8204320397344803,0.9832307074776352,0.8433096545791409,0.9092399677089165,0.7876777262765774,0.639680308327866,0.8566124018475578,0.9701160062278413,0.967349421435182,0.9558587638670994,0.9603941496831704,0.9220270443249116,0.8162101064196606,0.7179082839499885,0.5075935003085558,0.8167946863528739,0.9903958083838932,0.9924438788825345,0.8921584650214698,0.827962308037139,0.7449673040521584,0.7420980483980814,0.9482558198050843,0.9496176737193318,0.9490456755818509,0.5046657792988257,0.7764138866091849,0.9653897261422691,0.8217637259481666,0.8135239045601075,0.9580193991361738,0.9092399677089165,0.9974339418908029,0.827962308037139,0.7077386576782915,0.87465662747136,0.9397315845645005
PopulationTotalFemale,-0.45625370501412765,0.7215846979266324,0.5878646258569092,0.6168524057437356,0.3267155911704691,0.9967975322083735,1.0,0.999243251782425,0.9843631025484739,0.8494302384268091,0.8920494745306625,0.8406002175462438,0.9566580034635218,0.749871918542594,0.8156104902674517,0.2750671620273764,0.7492419610841506,0.9168587154328572,0.9769642906600976,0.9047330149681805,0.8846752214850631,0.7758218202230853,0.8403137841326817,0.5653868056059519,0.755048627941187,0.8597195729987608,0.945436281852448,0.9633399746106739,0.9743735578657551,0.9640893860778886,0.8284584106254815,0.9804662905974363,0.8406002175462438,0.8829730205126741,0.7820443632765027,0.6489049392921094,0.861143422861291,0.9729746758384208,0.9612181280463554,0.9512644565494447,0.957154077611723,0.924797483630382,0.8275606070873731,0.7313098713240221,0.5301138061776752,0.79537971881803,0.9925878289614445,0.9895332959023054,0.8991264038712852,0.8337100963323513,0.7526931514412316,0.7113182647475984,0.9481584654249413,0.9498862933306428,0.9491263032917547,0.5277673405077121,0.7828699674993671,0.9598225316260136,0.8319150063878731,0.8213027969573936,0.9604726082240547,0.8829730205126741,0.9980975533185128,0.8337100963323513,0.6824759023419636,0.8621675173604888,0.9503748398239948
PopulationTotal,-0.44896425309388377,0.7313001090255079,0.6030267921390275,0.6290648727699101,0.3455042663937767,0.9991536194877289,0.999243251782425,1.0,0.9870714438240183,0.8632406394220701,0.9011959448227325,0.842591385038647,0.9508620570968633,0.7316483220585355,0.8169380371103874,0.28853383061276566,0.7396009971872883,0.9119683643509426,0.9772285059212887,0.9074948201362434,0.8908453139960297,0.7839405309785294,0.8496699946657004,0.5612290461912367,0.7529884896753679,0.85587220900621,0.9441756279766166,0.9611950796407507,0.9773179455550574,0.9660608669817975,0.8252178893390347,0.9825962266465383,0.842591385038647,0.8964566461095456,0.7854108461213195,0.6449377631307118,0.8596292406309834,0.9723635072066801,0.9649703169232952,0.9542610734245216,0.9594967033408333,0.9241906431475285,0.8227024892967817,0.7253769999739476,0.5195843850144092,0.8064331532840426,0.9923166317623994,0.991741590288345,0.8964573121889008,0.8315820981465311,0.7495381223169292,0.7268594748480504,0.9489652486606429,0.9505164484470524,0.9498472901231453,0.5169533137240652,0.7803567308832359,0.9632992214956342,0.8276436844429041,0.8181769194467512,0.9600486445567925,0.8964566461095456,0.9985741968648909,0.8315820981465311,0.6953104941936543,0.8689328530612712,0.9459590989110875
PrincipalStatusAtWork,-0.4098672939810824,0.7605544750268078,0.6150870256855898,0.6274122717245538,0.3833143247058362,0.9883102429235106,0.9843631025484739,0.9870714438240183,1.0,0.8488671334831938,0.863994144149992,0.845051469929592,0.907724867965743,0.681854114838548,0.7594557301012533,0.2835209299653352,0.7779152092238074,0.924065274948873,0.9549710348564893,0.8634498865186242,0.8472408815204431,0.7375634633151105,0.8308425460203673,0.48430785421656153,0.6830558183908986,0.7926497221875115,0.9059327870478274,0.9334709690168883,0.9668278962662411,0.9741162320654398,0.8708039782070929,0.9696577602087699,0.845051469929592,0.9088963498835003,0.7226549262849474,0.5672960921239971,0.7950530317213695,0.9453570718681665,0.9377982341161641,0.934653132163051,0.9673199131168736,0.9476237643311579,0.8685522785972799,0.7821223099149118,0.5705102639887872,0.8215720329073348,0.9861608362170904,0.9705789799731606,0.8439426190745389,0.7756997010406846,0.703080226756029,0.7617789604109197,0.922939182678002,0.9246693738267426,0.9239047789003476,0.5074862491297191,0.7077436017280876,0.9389106573557928,0.8727707048234106,0.7525193566372904,0.9768124594974271,0.9088963498835003,0.9878416529481392,0.7756997010406846,0.7097773747404259,0.8241771167775657,0.9528020843347098
PrincipalStatusLookingForFirstJob,-0.4335428895617034,0.7813015546799191,0.7334144128036919,0.7444429470613971,0.5267234036453131,0.8764242354470866,0.8494302384268091,0.8632406394220701,0.8488671334831938,1.0,0.9619735365850249,0.7415919489095745,0.7401734755796306,0.44347629228235547,0.8331367579446562,0.32942307294555484,0.4489292647500146,0.641011704322525,0.8260569917029926,0.8460648689715887,0.9052143328994482,0.8992585538833373,0.9181389964013521,0.6091909121246187,0.7334108447438785,0.7480934725076194,0.791104066770528,0.7614188742592047,0.8291604961507799,0.7973884522256547,0.6163497275045883,0.8509118930368825,0.7415919489095745,0.9594131369662876,0.8469108520600576,0.660589213736197,0.7774478395603781,0.7917109179427098,0.8618615874467385,0.8140564670192886,0.7828023984760393,0.713274730915368,0.580762211552859,0.4967240991251524,0.28194891573764186,0.8579584107300836,0.8221638052724557,0.8930738819563281,0.827551634580747,0.8146798938884178,0.7280623903974006,0.8133505035436123,0.8068373890820691,0.8098289087815893,0.8084008340359213,0.2389342977755216,0.7482111413551897,0.8459605688857367,0.5940133574838226,0.7577981762259838,0.7799941068236902,0.9594131369662876,0.8489299130635399,0.8146798938884178,0.7964100110454829,0.9114707997734424,0.6954698079820791
