,0,GardaStation,Green
Salthill,9.0,,
Galway,19.0,,
0,,Blanchardstown,15.0
1,,Bridewell,0.0
2,,Finglas,10.0
3,,Balbriggan,9.0
4,,Pearse Street,3.0
5,,Fitzgibbon Street,1.0
6,,Cabra,3.0
7,,Shankill,10.0
8,,Ballyfermot,4.0
9,,Mountjoy,4.0
10,,Raheny,4.0
11,,Skerries,7.0
12,,Blackrock,3.0
13,,Kevin Street,1.0
14,,Irishtown,13.0
15,,Clontarf,21.0
16,,Coolock,2.0
17,,Sundrive Road,7.0
18,,Dun Laoghaire,22.0
19,,Lusk,5.0
20,,Howth,5.0
21,,Kilmainham,3.0
22,,Airport,0.0
23,,Ballymun,4.0
24,,Donnybrook,5.0
25,,Cabinteely,35.0
26,,Lucan,4.0
27,,Malahide,4.0
28,,Store Street,1.0
29,,Garristown,0.0
30,,Santry,22.0
31,,Swords,26.0
Keadue,2.0,,
Boyle,3.0,,
Roscommon,3.0,,
Athleague,1.0,,
Castlerea,1.0,,
Ballaghaderreen,1.0,,
